Januray,12,,,,,,,,,,,,,,,,,,,,,,,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease,
February,34,,,,,,,,,,,,,,,,,,,,,,,,2628176,2502609,,0,19907384,76040,1033285,2664340,,,,0,19907384,76040,
March,23,,,,,,,,,,,,,,,,,,,,,,,,2622781,2491753,,0,19831344,11292,1025375,2630435,,,,0,19831344,11292,
April,53,,,,,,,,,,,,,,,,,,,,,,,,2622199,2470308,,0,19820052,55875,1025537,2624414,,,,0,19820052,55875,
May,23,,,,,,,,,,,,,,,,,,,,,,,,2618057,2458818,,0,19764177,56522,1022798,2606279,,,,0,19764177,56522,
June,12,,,,,,,,,,,,,,,,,,,,,,,,2613982,2450229,,0,19707655,64597,1020452,2564354,,,,0,19707655,64597,
July,34,,,,,,,,,,,,,,,,,,,,,,,,2608239,2441822,,0,19643058,47847,1018098,2543010,,,,0,19643058,47847,
August,53,,,,,,,,,,,,,,,,,,,,,,,,2604373,2429453,,0,19595211,37529,1016619,2481635,,,,0,19595211,37529,
September,23,,,,,,,,,,,,,,,,,,,,,,,,2600487,2422369,,0,19557682,68999,1014806,2477824,,,,0,19557682,68999,
October,23,,,,,,,,,,,,,,,,,,,,,,,,,2594731,2417585,,0,19488683,62170,1011849,2451395,,,,0,19488683,62170
November,25,,,,,,,,,,,,,,,,,,,,,,,,,2588505,2393568,,0,19426513,68600,1008485,2420865,,,,0,19426513,68600
December,65,,,,,,,,,,,,,,,,,,,,,,,,,2581928,2380295,,0,19357913,53992,1005419,2373470,,,,0,19357913,53992
,,,,,,,,,,,,,,,,,,,,,,,,,,2576255,2368008,,0,19303921,61640,1000019,2358865,,,,0,19303921,61640
,,,,,,,,,,,,,,,,,,,,,,,,,,2568513,2353741,,0,19242281,43164,997580,2341176,,,,0,19242281,43164
,,,,,,,,,,,,,,,,,,,,,,,,,,2562136,2331940,,0,19199117,33266,996125,2320201,,,,0,19199117,33266
,,,,,,,,,,,,,,,,,,,,,,,,,,2558042,2318193,,0,19165851,38019,995393,2303319,,,,0,19165851,38019
,,,,,,,,,,,,,,,,,,,,,,,,,,2568426,2312445,,0,19127832,-84769,994702,2300546,,,,0,19127832,-84769
,,,,,,,,,,,,,,,,,,,,,,,,,,2560644,2289773,,0,19212601,401870,992781,2245228,,,,0,19212601,401870
,,,,,,,,,,,,,,,,,,,,,,,,,,2521479,2279684,,0,18810731,0,987853,2200714,,,,0,18810731,0
,,,,,,,,,,,,,,,,,,,,,,,,,,2521479,2268067,,0,18810731,0,987853,2200714,,,,0,18810731,0
,,,,,,,,,,,,,,,,,,,,,,,,,,2521479,2257030,,0,18810731,0,987853,2200714,,,,0,18810731,0
,,,,,,,,,,,,,,,,,,,,,,,,,,2521479,2260840,,0,18810731,0,987853,2200714,,,,0,18810731,0
,,,,,,,,,,,,,,,,,,,,,,,,,,2521479,2231709,,0,18810731,109964,987853,2200714,,,,0,18810731,109964
,,,,,,,,,,,,,,,,,,,,,,,,,,2510207,2220233,,0,18700767,95013,983897,2168000,,,,0,18700767,95013
,,,,,,,,,,,,,,,,,,,,,,,,,,2500055,2204146,,0,18605754,99489,981011,2127545,,,,0,18605754,99489
,,,,,,,,,,,,,,,,,,,,,,,,,,2489681,2184719,,0,18506265,91398,977294,2083584,,,,0,18506265,91398
,,,,,,,,,,,,,,,,,,,,,,,,,,2479268,2168762,,0,18414867,113195,974278,2063225,,,,0,18414867,113195
,,,,,,,,,,,,,,,,,,,,,,,,,,2463920,2125302,,0,18301672,80902,970422,2030649,,,,0,18301672,80902
,,,,,,,,,,,,,,,,,,,,,,,,,,2453191,2104894,,0,18220770,148480,969047,1993396,,,,0,18220770,148480
,,,,,,,,,,,,,,,,,,,,,,,,,,2435800,2091113,,0,18072290,37467,964000,1980915,,,,0,18072290,37467
,,,,,,,,,,,,,,,,,,,,,,,,,,2430693,2080185,,0,18034823,111908,963296,1955420,,,,0,18034823,111908
,,,,,,,,,,,,,,,,,,,,,,,,,,2418530,2060478,,0,17922915,76029,959934,1926967,,,,0,17922915,76029
,,,,,,,,,,,,,,,,,,,,,,,,,,2409593,2037888,,0,17846886,152012,937452,1880415,,,,0,17846886,152012
,,,,,,,,,,,,,,,,,,,,,,,,,,2390223,2015866,,0,17694874,89053,933639,1868992,,,,0,17694874,89053
,,,,,,,,,,,,,,,,,,,,,,,,,,2377723,1993704,,0,17605821,101463,931104,1849176,,,,0,17605821,101463
